date-time,headline,views,tags
2022-07-29 17:07:00,"Georgian PM Upholds “War Blackmail” Narrative, Backs Dissident MPs, Slams Opposition",67,"EUbid,Irakli Garibashvili,US Embassy,საქართველო"
2022-07-29 11:11:00,Employee Dies in Gori Defense Academy,25,"Ministry of Defense,საქართველო"
2022-07-29 11:41:00,U.S.  State Department Investment Climate Statement on Georgia,56,"Investment Climate Statement,U.S. State Department"
2022-07-29 18:05:00,Foreign Minister Visits Hungary,20,"Ilia Darchiashvili,Ministry of Foreign Affairs"
2022-07-29 11:55:00,Georgia’s GDP Up 7.2% in June 2022,45,"GDP Growth,Geostat"
2022-07-29 14:12:00,CSOs Urge Authorities to Protect Gogashvili’s Rights,45,"Civil Society,Georgia,Ministry of Justice,State Security Service,საქართველო"
2022-07-29 10:27:00,Lelo Alleges Local Council Members’ Dismissal Politically Motivated,28,"Lelo for Georgia,Local Council,Opposition"
2022-07-28 14:46:00,Dissident GD Members Announce New Public Movement,124,"Bidzina Ivanishvili,Georgian Dream,Kelly Degnan,US Embassy"
2022-07-29 10:50:00,Georgian Foreign Minister Visits Turkey,53,"Foreign Ministry of Georgia,Turkey-Georgia relations,საქართველო"
2022-07-29 23:50:00,Nine Die in Gudauri Double Air Crash,23,"air crash,Gudauri,Ministry of Internal Affairs,Vakhtang Gomelauri"
2022-07-29 13:56:00,Jury Court Finds Policeman Guilty of Beating Deaf Minor,29,"Georgia,Interior Ministry,Police"
2022-07-28 11:21:00,U.S. Ambassador Comments on Ivanishvili Meeting,203,"Bidzina Ivanishvili,Kelly Degnan,US Embassy"
2022-07-22 11:12:00,Delegation of MEPs Meets with Georgian PM,141,"EUbid,European Parliament,Georgian Dream,Irakli Garibashvili"
2022-07-28 13:33:00,CSOs Propose Plan to Meet EU Recommendations,82,"Civil Society,EUbid,Georgian Dream,Georgian Government,Opposition,Reforms"
2022-07-22 14:52:00,"GD Chair Doubles Down on Criticizing EU, U.S. Ambassadors",354,"EU Ambassador,Georgian Dream Government,Irakli Kobakhidze,State Department,Ukraine,US Embassy"
