date-time,headline,views,tags,
29/07/2022 - 17:07,"Georgian PM Upholds “War Blackmail” Narrative, Backs Dissident MPs, Slams Opposition",67,"EUbid,Irakli Garibashvili,US Embassy,საქართველო",
29/07/2022 - 11:11,Employee Dies in Gori Defense Academy,25,"Ministry of Defense,საქართველო",
29/07/2022 - 11:41,U.S.  State Department Investment Climate Statement on Georgia,56,"Investment Climate Statement,U.S. State Department",
29/07/2022 - 18:05,Foreign Minister Visits Hungary,20,"Ilia Darchiashvili,Ministry of Foreign Affairs",
29/07/2022 - 11:55,Georgia’s GDP Up 7.2% in June 2022,45,"GDP Growth,Geostat",
29/07/2022 - 14:12,CSOs Urge Authorities to Protect Gogashvili’s Rights,45,"Civil Society,Georgia,Ministry of Justice,State Security Service,საქართველო",
29/07/2022 - 10:27,Lelo Alleges Local Council Members’ Dismissal Politically Motivated,28,"Lelo for Georgia,Local Council,Opposition",
28/07/2022 - 14:46,Dissident GD Members Announce New Public Movement,124,"Bidzina Ivanishvili,Georgian Dream,Kelly Degnan,US Embassy",
29/07/2022 - 10:50,Georgian Foreign Minister Visits Turkey,53,"Foreign Ministry of Georgia,Turkey-Georgia relations,საქართველო",
29/07/2022 - 23:50,Nine Die in Gudauri Double Air Crash,23,"air crash,Gudauri,Ministry of Internal Affairs,Vakhtang Gomelauri",
29/07/2022 - 13:56,Jury Court Finds Policeman Guilty of Beating Deaf Minor,29,"Georgia,Interior Ministry,Police",
28/07/2022 - 11:21,U.S. Ambassador Comments on Ivanishvili Meeting,203,"Bidzina Ivanishvili,Kelly Degnan,US Embassy",
22/07/2022 - 11:12,Delegation of MEPs Meets with Georgian PM,141,"EUbid,European Parliament,Georgian Dream,Irakli Garibashvili",
28/07/2022 - 13:33,CSOs Propose Plan to Meet EU Recommendations,82,"Civil Society,EUbid,Georgian Dream,Georgian Government,Opposition,Reforms",
22/07/2022 - 14:52,"GD Chair Doubles Down on Criticizing EU, U.S. Ambassadors",354,"EU Ambassador,Georgian Dream Government,Irakli Kobakhidze,State Department,Ukraine,US Embassy",
19/07/2022 - 11:59,Georgia’s Foreign Trade Up 35.4% in January-June 2022,127,"Economy,Georgia,Trade",
19/07/2022 - 12:48,Georgian PM Visits Uzbekistan,184,"Georgian Government,Irakli Garibashvili,Uzbekistan",
22/07/2022 - 15:30,"PM Meets New Chinese, Turkish Ambassadors to Georgia",151,"China-Georgia Relations,Irakli Garibashvili",
19/07/2022 - 14:39,Weekly COVID Update: July 10-17,136,"Covid-19,National Center for Disease Control and Public Health",
19/07/2022 - 15:39,German Bundestag Vice President Visits Georgia,145,"Bundestag,EUbid,Georgian Government,Parliament of Georgia,Salome Zurabishvili,Shalva Papuashvili",
19/07/2022 - 17:03,Another Russian Blogger Says Denied Entry to Georgia,274,"Georgia,საქართველო",
20/07/2022 - 11:13,Investigation Launched Into MPs Scuffle with TV Boss at U.S. Embassy Event,113,"Anri Okhanashvili,Georgia,Georgian Dream,Press Freedom,TV Pirveli,US Embassy,Vato Tsereteli",
20/07/2022 - 12:57,Georgia in U.S. Human Trafficking Report 2022,137,"Georgia,Government of Georgia,Trafficking,Trafficking in Persons,US State Department",
20/07/2022 - 13:39,"Judiciary Controversy ‘Spun Up,’ says U.S. Ambassador",165,"Georgian Government,Judiciary,US Embassy",
20/07/2022 - 12:16,Tskhinvali Leader Makes Key Appointments,135,"Russian Occupation,Tskhinvali Region/South Ossetia",
20/07/2022 - 16:36,Delegation of MEPs Meets with Georgian President,171,"EUbid,European Parliament,Georgian Government,Salome Zurabishvili",
20/07/2022 - 16:44,Georgian PM Visits Turkmenistan,124,,
20/07/2022 - 17:25,GD Chair Slams EU Ambassador As Tenure Ends,319,"Carl Hartzell,EU-Georgia relations,EUbid,Georgian Dream,Irakli Kobakhidze",
20/07/2022 - 19:00,"Politicians Respond to Judge’s Allegations of MEP, U.S. Pressuring Judiciary",27,"European Union (EU),Georgia,Georgian Dream,Judiciary,Opposition,US Embassy",
05/07/2022 - 13:01,Weekly COVID Update: June 27-July 3,165,"Covid-19,National Center for Disease Control and Public Health",
05/07/2022 - 14:51,3 Persons Sentenced for Batumi Building Collapse,189,"Batumi,Georgia",
05/07/2022 - 19:03,ECHR Accepts Tbilisi Pride’s July 5 Case,231,,
05/07/2022 - 22:02,"Public Defender Argues for Banning Far-Right, Pro-Russia Party",231,"Alt-info,Constitutional Court,Georgian Government,July 5 Violence,Public Defender of Georgia",
06/07/2022 - 12:20,President Slams Gov’t Inaction Over Russia-friendly Far-right,304,"Alt-info,Far-right,Georgian Government,July 5 Violence,President Salome Zurabishvili",
06/07/2022 - 12:34,TV Crew Alleges Assault by Far-right Party Members,64,"Georgian Charter of Journalistic Ethics,Georgian Government,Media Freedom,Press Freedom",
06/07/2022 - 17:31,"GD Chair Sees Connection Between Joining War, EU Candidacy",320,"EUbid,Georgian Government,War in Ukraine",
07/07/2022 - 13:37,ECtHR President Meets Georgian PM,155,"European Court of Human Rights (ECHR),Georgian Government,Irakli Garibashvili,Judicial Reforms",
07/07/2022 - 20:50,Opposition Slams GD Over ‘Ultimatum to the EU’,259,"EUbid,Georgian Dream,Irakli Kobakhidze,Opposition",
07/07/2022 - 18:20,GD to Lower Electoral Barrier Only After Getting EU Candidacy,203,"Electoral reform,EUbid,Georgian Government,Irakli Kobakhidze",
08/07/2022 - 17:07,"Opposition Hesitant, as Speaker Hosts First EU Candidacy Strategy Meeting",186,"EUbid,Georgian Dream,Opposition",
08/07/2022 - 18:57,Georgian PM Meets Austrian Chancellor in Vienna,155,"EUbid,Irakli Garibashvili,Prime Minister",
08/07/2022 - 22:22,U.S. Ambassador: “Get to work” for EU Candidacy,405,"EUbid,Georgian Dream,Kelly Degnan",
09/07/2022 - 13:45,"GD Chair: U.S. Ambo Remarks Offensive to Parliament, State",416,"EUbid,Georgian Dream,Irakli Kobakhidze,Kelly Degnan",
09/07/2022 - 15:10,TI Georgia’s Report on Political Finance in 2021,175,"Georgia,political finance,TI Georgia",
23/06/2022 - 14:59,European Parliament Backs EU Perspective for Georgia,279,"EUbid,European Parliament,European Union (EU),Georgia",
23/06/2022 - 16:41,Journalist Reportedly Sacked Over Asking Pointed Questions,35,"Georgian Times,media,Media Freedom,Press Freedom,საქართველო",
23/06/2022 - 17:03,"Georgian PM, Ukrainian Official Trade Barbs",205,"David Arakhamia,EUbid,Georgia,Irakli Garibashvili,Ukraine-Georgia relations,საქართველო",
23/06/2022 - 19:36,"Georgian President Slams PM Over ‘Absurd, Offensive’ Parliamentary Address",589,"Associated Trio,EUbid,Georgian Dream,Irakli Garibashvili,Opposition,President Salome Zurabishvili",
23/06/2022 - 20:43,President Draws GD Ire for Vetoing Surveillance Bill,37,"Georgian Dream,President Salome Zurabishvili,surveillance",
23/06/2022 - 22:32,EU States Recognize Georgia’s European Perspective,548,"European Council,European Union,Georgia,Moldova,Ukraine",
24/06/2022 - 01:49,Georgian Foreign Ministry Reacts to European Council’s Decision,306,"EUbid,European Union,Foreign Ministry of Georgia",
24/06/2022 - 03:26,"Message to Georgians by France’s Macron, Presidents of Commission, European Council",277,"European Council,European Union (EU),Georgia,Ukraine",
24/06/2022 - 12:59,CSOs Take Aim at Georgian Dream as Country Misses EU Candidacy,245,"Civil Society,EUbid",
24/06/2022 - 15:17,PM Says EU Decision “Well-Deserved Achievement”,239,"EUbid,European Commission,Irakli Garibashvili,საქართველო",
24/06/2022 - 18:08,Georgian Opposition Reacts to Missed Candidacy,235,"Bidzina Ivanishvili,EUbid,Georgian Dream,Georgian Government,Opposition",
24/06/2022 - 20:35,"TV Pirveli Crew Attacked, Journalist Says",227,"EP Resolution,Georgian Government,Media Freedom,Press Freedom,TV Pirveli",
24/06/2022 - 21:08,Thousands of Georgians Rally for Europe Again,379,"EUbid,Europe,European Union (EU),Georgia",
24/06/2022 - 21:42,Pro-EU Rally Calls for PM Garibashvili to Resign,530,"EUbid,European Union (EU),Georgia,Irakli Garibashvili,TbilisiProtests",
25/06/2022 - 19:53,Moscow Wants to Move Georgia Talks out of Geneva,285,"Abkhazia,Geneva International Discussions,Georgia,OSCE,Russian Occupation,Tskhinvali Region/South Ossetia",
14/06/2022 - 12:31,Weekly COVID Update: June 6-12,109,"Covid-19,National Center for Disease Control and Public Health",
14/06/2022 - 13:44,Politico: ‘Jury Still Out’ on Georgia’s EU Candidacy,335,"Associated Trio,EUbid,Georgian Government,Ukraine",
14/06/2022 - 15:52,Occupied Abkhazia’s Legislature Complete After Runoff,172,"Abkhazia,Georgia,Russian Occupation",
14/06/2022 - 16:41,CoE Keeps Urging Russia to Pay Georgian Deportation Victims,114,"Council of Europe (CoE),European Court of Human Rights (ECHR),Russia,Russian Occupation",
14/06/2022 - 17:34,CoE Decision on Georgia v. Russia (II) Ruling Execution,187,"European Court of Human Rights (ECHR),Georgia,Russia",
14/06/2022 - 20:38,Georgian Govt Receives 7.73% of Borjomi Shares,225,"Borjomi,Economy,Georgian Government,IDS Borjomi,Russia sanctions,strike",
15/06/2022 - 14:00,Parliament Speaker Visits Scandinavian Countries,119,"EUbid,Shalva Papuashvili",
15/06/2022 - 11:52,President Slams Gov’t Over ‘Spoiled Work’ in Brussels,339,"European Union,Georgia,Salome Zurabishvili,Ursula von der Leyen",
15/06/2022 - 13:19,TV Probe Alleges Security Service Orchestrated Homophobic Pogroms,284,"Georgian Government,Homophobic Pogroms,July 5 Violence,SSG",
15/06/2022 - 18:15,"Deeds Not Words, Public Defender Tells President",158,"EP Resolution,EUbid,Public Defender of Georgia,Salome Zurabishvili",
15/06/2022 - 20:48,PM: EU Pays $1 Bln to Russia Daily Via Trade,168,"EUbid,European Union (EU),Prime Minister Irakli Garibashvili,Russia sanctions",
15/06/2022 - 18:37,Tskhinvali Opens Crossing Points for Lomisoba Festival,224,"Crossing Points,Russian Occupation,Tskhinvali Region/South Ossetia",
15/06/2022 - 21:31,Georgia’s Defense Chief Attends Ukraine Defense Contact Group Meeting,112,"Georgia,Georgian Defense Ministry,NATO,Ukraine",
15/06/2022 - 23:01,"Georgian Dream, Opposition Respond to President",208,"EUbid,Georgian Dream,Opposition,President Salome Zurabishvili",
04/06/2022 - 12:48,Georgia PM Says EU Candidacy Will Propel More Reforms,213,"EUbid,European Union,Georgia,Moldova,Ukraine",
04/06/2022 - 15:19,Georgian-Friendly Abkhazian TikToker Faces Treason Charges,678,"Daur Buava,Russian Occupation",
04/06/2022 - 17:27,"Georgian PM Meets EU Commission VP, Slovak Counterpart",125,"EUbid,Georgian Government,GLOBSEC,Prime Minister Irakli Garibashvili",
