date-time,headline,views,tags
1970-01-01 03:00:00,"Medvedev Signs Cooperation Treaties with Sokhumi, Tskhinvali",7,
2001-07-05 18:15:00,Local Self-governance or just Governance?,14,
2001-07-06 15:08:00,Secretary General of the Council of Europe meets Georgian Patrliamentarians Today,6,
2001-07-06 15:51:00,Faction “Revival” Does Not Trust NGOs,5,
2001-07-06 16:21:00,OSCE Urges Russia to Leave the Gudauta Base,5,
2001-07-06 16:30:00,Junk Business Should Be Prohibited,6,
2001-07-06 16:40:00,Father of the Parliamentary Vice-Speaker Has Been Beat Up,5,
2001-07-06 17:09:00,Debts Are Being Covered,3,
2001-07-07 13:05:00,Protest in Front of the Russian Embassy in Tbilisi is Being Continued,8,
2001-07-07 15:08:00,Consultations between the Parliamentary Majority and the opposition have failed,5,
2001-07-07 15:58:00,The Parliamentary and Non-Parliamentary Opposition Got United,6,
2001-07-07 17:16:00,Another Provocation from the Russian Press,7,
2001-07-09 15:20:00,President Shevardnadze Is Not Against Creation of Two-Chamber Parliament in Adjaria,6,
2001-07-09 15:25:00,Faction “Traditionalists” Demands Special Session on the Issue of Gudauta Base,4,
2001-07-09 18:26:00,Georgian newspapers publish only “anomaly” to invoke an interest in readers,14,
2001-07-09 19:01:00,"President’s Briefing. Monday, July 9, 2001",7,
2001-07-09 19:45:00,Two-Chamber Parliament in Adjaria – A Separatism?,4,
2001-07-10 16:32:00,“Citizens’ Union” Image-maker – Russian Intelligence Serviceman?,4,
2001-07-10 17:25:00,The Parliamentary Opposition and the State Chancellery Agree on Local Self-Governance Elections,3,
2001-07-10 18:23:00,“Abashidze Will Soon Write His Own Anthem and Draw State Symbol”,3,
2001-07-10 18:55:00,"Review of the Parliament’s Bureau Session. July 3rd, 2001",4,
2001-07-10 18:57:00,“Citizens’ Union Intentionally Let Russian Spies To Georgia”,2,
2001-07-10 19:26:00,Several Parliamentarians are Lobbying Illegal Timber Business,2,
2001-07-10 19:50:00,Ilia’s Stolen Bust Was Returned to its Place,4,
2001-07-11 18:22:00,Parliament’s Weekly Review. July 2-8 2001,5,
2001-07-12 11:02:00,"Weekly Review of Ministries’ Activities. June 30 – July 7, 2001",6,
2001-07-12 16:41:00,Consent on Local Self-Governance Elections Could Not be Reached Again,4,
2001-07-12 17:42:00,“There are Signs of ‘Arrangements’ Between Certain Factions and State Chancellery”,2,
2001-07-12 18:06:00,"Review of Government Meeting. Jule 11, 2001",4,
2001-07-12 18:28:00,"After the May 25 Mutiny, Financing of the Defense Ministry Has Improved",3,
2001-07-13 14:59:00,The Number of Poor People Is Increasing in Georgia,2,
2001-07-13 15:14:00,Financial Policy of the Defense Minister of Georgia Is Disliked,2,
2001-07-13 15:48:00,Employee of State Guard Service Has Been Kidnapped,4,
2001-07-13 16:03:00,EU to Assist Georgia in State Border Protection,2,
2001-07-13 16:40:00,Extraordinary Session of the Parliament to Discuss the Amendments to the Taxation Code,2,
